Connecting to host 10.35.102.180, port 5201
[  6] local 10.35.102.188 port 37380 connected to 10.35.102.180 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec  2.72 MBytes  22.8 Mbits/sec   37   1.41 KBytes       
[  6]   1.00-2.00   sec  2.11 MBytes  17.7 Mbits/sec   61   1.41 KBytes       
[  6]   2.00-3.00   sec  2.42 MBytes  20.3 Mbits/sec   28    105 KBytes       
[  6]   3.00-4.00   sec  2.17 MBytes  18.2 Mbits/sec   23    122 KBytes       
[  6]   4.00-5.00   sec  1.55 MBytes  13.0 Mbits/sec   72    126 KBytes       
[  6]   5.00-6.00   sec  1.49 MBytes  12.5 Mbits/sec   64   67.9 KBytes       
[  6]   6.00-7.00   sec  1.49 MBytes  12.5 Mbits/sec   43   43.8 KBytes       
[  6]   7.00-8.00   sec  1.86 MBytes  15.6 Mbits/sec   33   35.4 KBytes       
[  6]   8.00-9.00   sec  1.12 MBytes  9.38 Mbits/sec   14   1.41 KBytes       
[  6]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  6]  10.00-11.00  sec  1.12 MBytes  9.39 Mbits/sec    1   11.3 KBytes       
[  6]  11.00-12.00  sec   764 KBytes  6.25 Mbits/sec   21   96.2 KBytes       
[  6]  12.00-13.00  sec  1.12 MBytes  9.39 Mbits/sec   11   79.2 KBytes       
[  6]  13.00-14.00  sec   764 KBytes  6.25 Mbits/sec    0    133 KBytes       
[  6]  14.00-15.00  sec  1.49 MBytes  12.5 Mbits/sec    0    195 KBytes       
[  6]  15.00-16.00  sec  1.30 MBytes  10.9 Mbits/sec   10    136 KBytes       
[  6]  16.00-17.00  sec   954 KBytes  7.82 Mbits/sec    5   50.9 KBytes       
[  6]  17.00-18.00  sec   891 KBytes  7.30 Mbits/sec    0   76.4 KBytes       
[  6]  18.00-19.00  sec   445 KBytes  3.65 Mbits/sec    0   86.3 KBytes       
[  6]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0   94.7 KBytes       
[  6]  20.00-21.00  sec   445 KBytes  3.65 Mbits/sec    2   67.9 KBytes       
[  6]  21.00-22.00  sec   445 KBytes  3.65 Mbits/sec   45   52.3 KBytes       
[  6]  22.00-23.00  sec   445 KBytes  3.65 Mbits/sec    0   59.4 KBytes       
[  6]  23.00-24.00  sec   445 KBytes  3.65 Mbits/sec    0   62.2 KBytes       
[  6]  24.00-25.00  sec   445 KBytes  3.65 Mbits/sec   18   2.83 KBytes       
[  6]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    3   26.9 KBytes       
[  6]  26.00-27.00  sec   445 KBytes  3.65 Mbits/sec   10   22.6 KBytes       
[  6]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
[  6]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    8   19.8 KBytes       
[  6]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    6   8.48 KBytes       
[  6]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    5   4.24 KBytes       
[  6]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    4   1.41 KBytes       
[  6]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    2   5.66 KBytes       
