Connecting to host 10.35.102.180, port 5201
[  6] local 10.35.102.188 port 42700 connected to 10.35.102.180 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec  8.52 MBytes  71.5 Mbits/sec    0    380 KBytes       
[  6]   1.00-2.00   sec  6.28 MBytes  52.6 Mbits/sec   12    236 KBytes       
[  6]   2.00-3.00   sec  4.72 MBytes  39.6 Mbits/sec    3    180 KBytes       
[  6]   3.00-4.00   sec  6.59 MBytes  55.3 Mbits/sec   16    146 KBytes       
[  6]   4.00-5.00   sec  5.65 MBytes  47.4 Mbits/sec    5    137 KBytes       
[  6]   5.00-6.00   sec  8.58 MBytes  71.9 Mbits/sec    0    180 KBytes       
[  6]   6.00-7.00   sec  11.3 MBytes  94.9 Mbits/sec    0    225 KBytes       
[  6]   7.00-8.00   sec  10.8 MBytes  90.7 Mbits/sec    0    257 KBytes       
[  6]   8.00-9.00   sec  9.51 MBytes  79.8 Mbits/sec    5    211 KBytes       
[  6]   9.00-10.00  sec  5.59 MBytes  46.9 Mbits/sec   11    120 KBytes       
[  6]  10.00-11.00  sec  3.73 MBytes  31.3 Mbits/sec   12    106 KBytes       
[  6]  11.00-12.00  sec  2.80 MBytes  23.5 Mbits/sec    6   62.2 KBytes       
[  6]  12.00-13.00  sec   954 KBytes  7.82 Mbits/sec    8   55.1 KBytes       
[  6]  13.00-14.00  sec   954 KBytes  7.82 Mbits/sec    8   50.9 KBytes       
[  6]  14.00-15.00  sec   954 KBytes  7.82 Mbits/sec   16   65.0 KBytes       
[  6]  15.00-16.00  sec   954 KBytes  7.82 Mbits/sec    0   96.2 KBytes       
[  6]  16.00-17.00  sec   954 KBytes  7.82 Mbits/sec   19   70.7 KBytes       
[  6]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    0   96.2 KBytes       
[  6]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    4   11.3 KBytes       
[  6]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  6]  20.00-21.00  sec   954 KBytes  7.82 Mbits/sec   79   8.48 KBytes       
[  6]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    3   1.41 KBytes       
[  6]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    6   1.41 KBytes       
[  6]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    5   8.48 KBytes       
[  6]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    4   2.83 KBytes       
[  6]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[  6]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[  6]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[  6]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0   2.83 KBytes       
[  6]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[  6]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0   2.83 KBytes       
[  6]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  6]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  6]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  6]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  6]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  6]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  6]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    0   2.83 KBytes       
[  6]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
[  6]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  6]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  6]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec    0   31.1 KBytes       
[  6]  42.00-43.00  sec  0.00 Bytes  0.00 bits/sec    0   43.8 KBytes       
