Connecting to host 10.35.102.180, port 5201
[  6] local 10.35.102.188 port 42694 connected to 10.35.102.180 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec  4.20 MBytes  35.2 Mbits/sec   24    109 KBytes       
[  6]   1.00-2.00   sec  4.35 MBytes  36.5 Mbits/sec    0    134 KBytes       
[  6]   2.00-3.00   sec  4.41 MBytes  37.0 Mbits/sec    2    116 KBytes       
[  6]   3.00-4.00   sec  4.41 MBytes  37.0 Mbits/sec    3   97.6 KBytes       
[  6]   4.00-5.00   sec  2.55 MBytes  21.4 Mbits/sec    0    119 KBytes       
[  6]   5.00-6.00   sec  3.73 MBytes  31.3 Mbits/sec    9    106 KBytes       
[  6]   6.00-7.00   sec  5.03 MBytes  42.2 Mbits/sec    0    137 KBytes       
[  6]   7.00-8.00   sec  2.55 MBytes  21.4 Mbits/sec   16    113 KBytes       
[  6]   8.00-9.00   sec   636 KBytes  5.21 Mbits/sec   15   63.6 KBytes       
[  6]   9.00-10.00  sec  1.24 MBytes  10.4 Mbits/sec    1    126 KBytes       
[  6]  10.00-11.00  sec  1.86 MBytes  15.6 Mbits/sec    0    221 KBytes       
[  6]  11.00-12.00  sec  1.86 MBytes  15.6 Mbits/sec   32    109 KBytes       
[  6]  12.00-13.00  sec  1.99 MBytes  16.7 Mbits/sec   22    129 KBytes       
[  6]  13.00-14.00  sec  1.86 MBytes  15.6 Mbits/sec   57   72.1 KBytes       
[  6]  14.00-15.00  sec  1.86 MBytes  15.6 Mbits/sec   56   52.3 KBytes       
[  6]  15.00-16.00  sec  1.86 MBytes  15.6 Mbits/sec   31   74.9 KBytes       
[  6]  16.00-17.00  sec  1.93 MBytes  16.2 Mbits/sec   27   84.8 KBytes       
[  6]  17.00-18.00  sec  1.24 MBytes  10.4 Mbits/sec   43   53.7 KBytes       
[  6]  18.00-19.00  sec   636 KBytes  5.21 Mbits/sec   27   35.4 KBytes       
[  6]  19.00-20.00  sec  1.24 MBytes  10.4 Mbits/sec    2   1.41 KBytes       
[  6]  20.00-21.00  sec  1.86 MBytes  15.6 Mbits/sec    1    167 KBytes       
[  6]  21.00-22.00  sec  1.93 MBytes  16.2 Mbits/sec   11    115 KBytes       
[  6]  22.00-23.00  sec   636 KBytes  5.21 Mbits/sec    4   97.6 KBytes       
[  6]  23.00-24.00  sec  1.24 MBytes  10.4 Mbits/sec   23   76.4 KBytes       
[  6]  24.00-25.00  sec  1.24 MBytes  10.4 Mbits/sec   33   41.0 KBytes       
[  6]  25.00-26.00  sec   636 KBytes  5.21 Mbits/sec    4   2.83 KBytes       
[  6]  26.00-27.00  sec  1.24 MBytes  10.4 Mbits/sec   40   35.4 KBytes       
[  6]  27.00-28.00  sec  1.24 MBytes  10.4 Mbits/sec   14   4.24 KBytes       
[  6]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec   13   1.41 KBytes       
[  6]  29.00-30.00  sec  2.49 MBytes  20.9 Mbits/sec    0    140 KBytes       
[  6]  30.00-31.00  sec  4.35 MBytes  36.5 Mbits/sec   17    112 KBytes       
[  6]  31.00-32.00  sec  4.47 MBytes  37.5 Mbits/sec    0    140 KBytes       
[  6]  32.00-33.00  sec  5.10 MBytes  42.7 Mbits/sec   11    129 KBytes       
[  6]  33.00-34.00  sec  4.41 MBytes  37.0 Mbits/sec    4    119 KBytes       
[  6]  34.00-35.00  sec  3.85 MBytes  32.3 Mbits/sec    0    143 KBytes       
[  6]  35.00-36.00  sec  3.11 MBytes  26.1 Mbits/sec   14    120 KBytes       
[  6]  36.00-37.00  sec  3.17 MBytes  26.6 Mbits/sec   17    106 KBytes       
[  6]  37.00-38.00  sec   636 KBytes  5.21 Mbits/sec   10   80.6 KBytes       
[  6]  38.00-39.00  sec   636 KBytes  5.21 Mbits/sec    9   74.9 KBytes       
[  6]  39.00-40.00  sec   636 KBytes  5.21 Mbits/sec    0    115 KBytes       
[  6]  40.00-41.00  sec  1.24 MBytes  10.4 Mbits/sec    3    105 KBytes       
[  6]  41.00-42.00  sec  1.37 MBytes  11.5 Mbits/sec    7    103 KBytes       
[  6]  42.00-43.00  sec   636 KBytes  5.21 Mbits/sec    2   83.4 KBytes       
[  6]  43.00-44.00  sec   636 KBytes  5.21 Mbits/sec    0   93.3 KBytes       
[  6]  44.00-45.00  sec   636 KBytes  5.21 Mbits/sec    0   96.2 KBytes       
[  6]  45.00-46.00  sec   636 KBytes  5.21 Mbits/sec    0   96.2 KBytes       
[  6]  46.00-47.00  sec   636 KBytes  5.21 Mbits/sec    0    100 KBytes       
[  6]  47.00-48.00  sec  0.00 Bytes  0.00 bits/sec    1   70.7 KBytes       
[  6]  48.00-49.00  sec   700 KBytes  5.73 Mbits/sec    2   28.3 KBytes       
[  6]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec    7   32.5 KBytes       
[  6]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec    1   33.9 KBytes       
[  6]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec    0   33.9 KBytes       
[  6]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec    4   25.5 KBytes       
[  6]  53.00-54.00  sec  0.00 Bytes  0.00 bits/sec    0   25.5 KBytes       
[  6]  54.00-55.00  sec  0.00 Bytes  0.00 bits/sec    0   25.5 KBytes       
[  6]  55.00-56.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  6]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  6]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  6]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  6]  59.00-60.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  6]   0.00-60.00  sec  98.7 MBytes  13.8 Mbits/sec  620             sender
[  6]   0.00-60.33  sec  97.2 MBytes  13.5 Mbits/sec                  receiver

iperf Done.
