Connecting to host 10.16.32.61, port 5201
[  6] local 10.16.32.22 port 51724 connected to 10.16.32.61 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec   454 KBytes  3.72 Mbits/sec    0   42.4 KBytes       
[  6]   1.00-2.00   sec   382 KBytes  3.13 Mbits/sec    0   62.2 KBytes       
[  6]   2.00-3.00   sec  1.06 MBytes  8.87 Mbits/sec    0    105 KBytes       
[  6]   3.00-4.00   sec  1.86 MBytes  15.6 Mbits/sec    0    177 KBytes       
[  6]   4.00-5.00   sec   382 KBytes  3.13 Mbits/sec    0    181 KBytes       
[  6]   5.00-6.00   sec  0.00 Bytes  0.00 bits/sec    0    181 KBytes       
[  6]   6.00-7.00   sec   764 KBytes  6.26 Mbits/sec    0    199 KBytes       
[  6]   7.00-8.00   sec  4.78 MBytes  40.1 Mbits/sec    0    368 KBytes       
[  6]   8.00-9.00   sec  4.41 MBytes  37.0 Mbits/sec    4    317 KBytes       
[  6]   9.00-10.00  sec  2.61 MBytes  21.9 Mbits/sec    0    358 KBytes       
[  6]  10.00-11.00  sec  5.28 MBytes  44.3 Mbits/sec    0    395 KBytes       
[  6]  11.00-12.00  sec  6.21 MBytes  52.1 Mbits/sec    0    416 KBytes       
[  6]  12.00-13.00  sec  9.57 MBytes  80.3 Mbits/sec    0    426 KBytes       
[  6]  13.00-14.00  sec  9.69 MBytes  81.3 Mbits/sec    0    427 KBytes       
[  6]  14.00-15.00  sec  11.3 MBytes  94.9 Mbits/sec    0    427 KBytes       
[  6]  15.00-16.00  sec  11.3 MBytes  94.9 Mbits/sec    0    427 KBytes       
[  6]  16.00-17.00  sec  9.76 MBytes  81.8 Mbits/sec    0    431 KBytes       
[  6]  17.00-18.00  sec  9.01 MBytes  75.6 Mbits/sec    0    447 KBytes       
[  6]  18.00-19.00  sec  9.32 MBytes  78.2 Mbits/sec    0    462 KBytes       
[  6]  19.00-20.00  sec  9.51 MBytes  79.8 Mbits/sec    2    365 KBytes       
[  6]  20.00-21.00  sec  11.4 MBytes  95.9 Mbits/sec    0    413 KBytes       
[  6]  21.00-22.00  sec  11.2 MBytes  94.4 Mbits/sec    0    447 KBytes       
[  6]  22.00-23.00  sec  11.2 MBytes  93.8 Mbits/sec    0    465 KBytes       
[  6]  23.00-24.00  sec  11.2 MBytes  94.4 Mbits/sec    0    475 KBytes       
[  6]  24.00-25.00  sec  11.4 MBytes  95.4 Mbits/sec    0    477 KBytes       
[  6]  25.00-26.00  sec  9.76 MBytes  81.8 Mbits/sec    0    477 KBytes       
[  6]  26.00-27.00  sec  7.64 MBytes  64.1 Mbits/sec    0    477 KBytes       
[  6]  27.00-28.00  sec  9.82 MBytes  82.4 Mbits/sec    0    481 KBytes       
