Connecting to host 10.16.32.61, port 5201
[  6] local 10.16.32.22 port 52448 connected to 10.16.32.61 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec  1.84 MBytes  15.4 Mbits/sec    2    116 KBytes       
[  6]   1.00-2.00   sec  2.42 MBytes  20.3 Mbits/sec    1    212 KBytes       
[  6]   2.00-3.00   sec  2.86 MBytes  24.0 Mbits/sec    1    329 KBytes       
[  6]   3.00-4.00   sec  2.24 MBytes  18.8 Mbits/sec    0    397 KBytes       
[  6]   4.00-5.00   sec  2.61 MBytes  21.9 Mbits/sec    0    469 KBytes       
[  6]   5.00-6.00   sec   954 KBytes  7.82 Mbits/sec    0    469 KBytes       
[  6]   6.00-7.00   sec  2.11 MBytes  17.7 Mbits/sec    0    529 KBytes       
[  6]   7.00-8.00   sec  2.11 MBytes  17.7 Mbits/sec    0    529 KBytes       
[  6]   8.00-9.00   sec  4.47 MBytes  37.5 Mbits/sec    0    588 KBytes       
[  6]   9.00-10.00  sec  3.67 MBytes  30.8 Mbits/sec    0    649 KBytes       
[  6]  10.00-11.00  sec  5.00 MBytes  41.9 Mbits/sec    1    655 KBytes       
[  6]  11.00-12.00  sec  5.00 MBytes  41.9 Mbits/sec    1    758 KBytes       
[  6]  12.00-13.00  sec  10.0 MBytes  83.9 Mbits/sec    0    805 KBytes       
[  6]  13.00-14.00  sec  10.0 MBytes  83.9 Mbits/sec   47    872 KBytes       
[  6]  14.00-15.00  sec  11.2 MBytes  94.4 Mbits/sec    0    925 KBytes       
[  6]  15.00-16.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.03 MBytes       
[  6]  16.00-17.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1.11 MBytes       
[  6]  17.00-18.00  sec  11.2 MBytes  94.4 Mbits/sec    8    839 KBytes       
[  6]  18.00-19.00  sec  11.2 MBytes  94.4 Mbits/sec    0    897 KBytes       
[  6]  19.00-20.00  sec  11.2 MBytes  94.4 Mbits/sec    0    942 KBytes       
